family,fold,k,station,n_products,W_tr,W_te,T_s_stored,Tn,Wbar,Wn,Tn_equiv,ratio_asrun,ratio_norm,ratio_norm_equiv,share,viol_asrun_flag,viol_norm_flag,train_ok
iscf10kt-temporal,r0f3,2,GARE6,541,2835.0,565.0,2850.0,702,2835.0,2296.2335752108256,2850,0.19824561403508772,0.8048433048433048,0.8056959913020441,0.11080604040007845,False,False,True
iscf10kt-temporal,r0f3,2,GARE7,541,2237.0,302.0,2850.0,702,2237.0,1227.3673269268486,2850,0.10596491228070175,0.4301994301994302,0.43065520243047317,0.059227299470484406,False,False,True
iscf10kt-temporal,r0f3,2,GARE8,541,2818.0,1658.0,2850.0,702,2818.0,6738.32790743283,2850,0.5817543859649122,2.3618233618233617,2.364325581555379,0.32516179643067267,False,True,True
iscf10kt-temporal,r0f3,2,GARE9,541,2798.0,604.0,2850.0,702,2798.0,2454.734653853697,2850,0.2119298245614035,0.8603988603988604,0.8613104048609463,0.11845459894096881,False,False,True
iscf10kt-temporal,r0f3,2,GARE10,541,2654.0,356.0,2850.0,702,2654.0,1446.830358893901,2850,0.12491228070175439,0.5071225071225072,0.5076597750504915,0.06981761129633261,False,False,True
iscf10kt-temporal,r0f3,2,GARE11,541,2780.0,452.0,2850.0,702,2780.0,1836.9868601686608,2850,0.15859649122807018,0.6438746438746439,0.6445567930416354,0.08864483232006276,False,False,True
iscf10kt-temporal,r0f4,1,GARE4,541,1782.0,82.0,3155.0,396,1782.0,653.7206393328701,3155,0.025990491283676705,0.20707070707070707,0.20720147047000637,0.02849200833912439,False,False,True
iscf10kt-temporal,r0f4,1,GARE5,541,3094.0,416.0,3155.0,396,3094.0,3316.4364141765113,3155,0.1318541996830428,1.0505050505050506,1.051168435555154,0.14454482279360667,False,True,True
iscf10kt-temporal,r0f4,1,GARE6,541,3153.0,573.0,3155.0,396,3153.0,4568.072272411397,3155,0.18161648177496037,1.446969696969697,1.4478834460891907,0.19909659485753997,False,True,True
iscf10kt-temporal,r0f4,1,GARE7,541,3153.0,215.0,3155.0,396,3153.0,1714.0236275191105,3155,0.06814580031695722,0.5429292929292929,0.5432721481835533,0.07470465601111884,False,False,True
iscf10kt-temporal,r0f4,1,GARE8,541,3151.0,931.0,3155.0,396,3151.0,7422.120917303683,3155,0.2950871632329635,2.351010101010101,2.352494743994828,0.3234885337039611,False,True,True
iscf10kt-temporal,r0f4,1,GARE9,541,2459.0,390.0,3155.0,396,2459.0,3109.1591382904794,3155,0.12361331220285261,0.9848484848484849,0.9854704083329571,0.13551077136900624,False,False,True
iscf10kt-temporal,r0f4,1,GARE10,541,3152.0,134.0,3155.0,396,3152.0,1068.275191104934,3155,0.042472266244057054,0.3383838383838384,0.33859752491440065,0.046560111188325225,False,False,True
iscf10kt-temporal,r0f4,1,GARE11,541,3000.0,137.0,3155.0,396,3000.0,1092.1917998610147,3155,0.043423137876386686,0.34595959595959597,0.34617806651696187,0.04760250173731758,False,False,True
iscf10kt-temporal,r0f4,2,GARE4,541,3150.0,79.0,3155.0,396,3150.0,629.8040305767895,3155,0.02503961965134707,0.1994949494949495,0.19962092886744517,0.027449617790132035,False,False,True
iscf10kt-temporal,r0f4,2,GARE5,541,3077.0,120.0,3155.0,396,3077.0,956.6643502432245,3155,0.03803486529318542,0.30303030303030304,0.30322166410244833,0.04169562195969423,False,False,True
iscf10kt-temporal,r0f4,2,GARE6,541,3119.0,1043.0,3155.0,396,3119.0,8315.00764419736,3155,0.3305863708399366,2.6338383838383836,2.6355016304904466,0.36240444753300904,False,True,True
iscf10kt-temporal,r0f4,2,GARE7,541,2710.0,360.0,3155.0,396,2710.0,2869.9930507296735,3155,0.11410459587955626,0.9090909090909091,0.909664992307345,0.1250868658790827,False,False,True
iscf10kt-temporal,r0f4,2,GARE8,541,2802.0,167.0,3155.0,396,2802.0,1331.3578874218208,3155,0.05293185419968304,0.4217171717171717,0.42198348254257395,0.05802640722724114,False,False,True
iscf10kt-temporal,r0f4,2,GARE9,541,2279.0,121.0,3155.0,396,2279.0,964.6365531619181,3155,0.03835182250396196,0.3055555555555556,0.3057485113033021,0.04204308547602502,False,False,True
iscf10kt-temporal,r0f4,2,GARE10,541,2654.0,179.0,3155.0,396,2654.0,1427.0243224461433,3155,0.056735340729001583,0.45202020202020204,0.4523056489528188,0.06219596942321056,False,False,True
iscf10kt-temporal,r0f4,2,GARE11,541,3153.0,809.0,3155.0,396,3153.0,6449.512161223071,3155,0.25641838351822505,2.042929292929293,2.0442193854906723,0.2810979847116053,False,True,True
